aX,aY,aZ,gX,gY,gZ
1.607,-0.133,1.010,2.014,1.282,7.263
1.407,-0.278,0.999,2.258,0.732,5.554
1.181,-0.382,0.996,3.906,0.122,8.789
1.007,-0.594,0.989,4.333,0.061,17.029
0.758,-0.590,1.002,2.991,1.099,25.513
0.551,-0.696,1.006,2.502,3.235,30.640
0.160,-0.475,1.049,1.831,5.371,31.677
-0.047,-0.502,1.013,2.136,4.333,34.973
-0.162,-0.433,1.007,2.075,1.831,36.499
-0.362,-0.312,1.004,1.953,2.869,34.241
-0.493,-0.002,0.998,1.160,3.296,27.649
-0.593,0.011,1.025,0.000,4.333,22.400
-0.689,0.205,1.008,-1.465,3.174,15.442
-0.572,0.172,0.996,-2.319,0.793,16.541
-0.626,0.104,0.996,-1.038,0.366,16.602
-0.633,0.159,0.998,2.441,0.916,10.132
-0.559,0.164,0.998,5.310,0.366,7.324
-0.595,0.094,0.995,5.005,0.610,12.207
-0.634,0.097,0.994,4.578,1.343,17.212
-0.667,0.174,0.989,2.197,2.747,19.531
-0.809,0.203,0.989,-0.305,4.822,22.095
-0.829,0.154,1.023,-2.136,6.409,24.963
-0.759,0.031,1.020,-0.427,4.456,25.024
-0.725,0.021,1.015,-0.244,2.075,18.005
-0.726,0.110,1.009,-0.427,1.648,5.920
-0.636,0.138,1.012,-0.549,0.061,-2.136
-0.568,0.062,0.982,-0.122,-2.991,-4.211
-0.448,0.038,0.993,0.610,-2.441,-6.042
-0.395,-0.005,0.996,0.916,-1.160,-8.057
-0.349,-0.005,0.994,0.854,-0.549,-11.292
-0.336,-0.002,0.999,0.916,0.122,-13.245
-0.331,-0.008,0.999,1.404,0.305,-11.414
-0.289,-0.025,1.005,1.587,0.488,-7.446
-0.292,-0.016,0.998,1.587,0.610,-4.272
-0.270,0.000,0.998,1.587,0.610,-2.747
-0.257,0.002,1.001,1.465,0.549,-0.244
-0.214,-0.012,1.002,1.343,0.549,1.892
-0.180,-0.022,1.001,1.282,0.671,2.747
-0.218,-0.017,1.000,1.221,0.610,2.014
-0.203,-0.019,0.999,1.038,0.427,2.075
-0.206,-0.022,1.000,1.160,0.488,3.113
-0.215,-0.022,1.001,0.854,0.610,3.662
-0.290,-0.027,1.000,0.854,0.488,3.235
-0.059,-0.019,1.002,1.160,0.671,1.099
-0.034,-0.019,1.004,0.671,0.793,-0.122
-0.036,-0.022,1.000,0.488,0.854,-0.183
-0.040,-0.023,1.001,0.549,0.854,-0.122
-0.039,-0.024,1.001,0.732,0.671,-0.061
-0.034,-0.025,1.000,0.977,0.793,-0.061
-0.025,-0.022,1.002,1.099,0.854,-0.061
-0.018,-0.017,1.001,1.099,0.671,0.000
-0.014,-0.015,1.001,1.160,0.732,-0.122
-0.016,-0.015,1.001,1.038,0.671,-0.244
-0.018,-0.014,1.001,0.916,0.671,-0.122
-0.021,-0.015,1.000,0.793,0.732,-0.122
-0.022,-0.022,1.000,1.099,0.793,0.061
-0.026,-0.026,1.002,0.793,0.549,0.000
-0.029,-0.029,1.002,0.732,0.732,-0.122
-0.029,-0.027,1.000,0.732,0.854,-0.244
-0.029,-0.023,1.001,0.732,0.793,-0.305
-0.027,-0.020,1.001,0.732,0.732,-0.244
-0.025,-0.016,1.001,0.854,0.610,-0.122
-0.024,-0.016,1.001,0.732,0.732,-0.122
-0.021,-0.019,1.000,0.732,0.549,-0.061
-0.021,-0.023,1.002,0.854,0.549,-0.183
-0.021,-0.023,1.002,0.916,0.732,-0.122
-0.023,-0.025,1.002,0.916,0.793,-0.244
-0.024,-0.022,0.999,1.038,0.854,-0.122
-0.025,-0.019,1.001,0.977,0.793,-0.305
-0.029,-0.016,1.001,1.038,0.671,-0.366
-0.030,-0.015,1.001,0.916,0.549,-0.305
-0.031,-0.017,1.001,0.977,0.732,-0.183
-0.031,-0.021,1.002,0.793,0.671,-0.122
-0.032,-0.023,1.001,1.038,0.793,0.000
-0.029,-0.025,1.001,0.916,0.610,-0.061
-0.027,-0.025,1.001,1.038,0.610,-0.122
-0.025,-0.022,1.001,0.977,0.610,-0.183
-0.024,-0.019,1.001,0.916,0.793,-0.183
-0.021,-0.019,1.003,0.916,0.549,-0.061
-0.020,-0.018,1.001,1.038,0.732,0.061
