aX,aY,aZ,gX,gY,gZ
-0.025,-0.019,1.000,1.099,0.793,-0.122

-0.457,2.423,0.988,-0.305,0.671,23.743
0.058,1.903,1.003,-0.977,-0.122,70.557
0.164,2.066,1.019,-4.028,0.183,87.097
0.030,2.531,1.021,-11.230,0.549,92.468
0.316,2.132,1.069,-26.123,1.526,107.239
0.459,1.626,0.980,-52.002,3.235,100.952
0.391,1.225,0.818,-57.739,3.540,70.618
0.179,0.746,0.769,-23.010,2.258,12.146
0.102,0.552,0.903,32.104,-0.610,-62.195
0.180,0.353,1.121,78.308,-2.625,-129.761
0.201,-0.562,1.053,60.303,-1.831,-170.532
-0.299,-0.157,1.014,10.620,2.014,-180.786
-0.446,-0.852,1.020,3.296,1.709,-150.391
-0.817,-1.358,1.024,1.282,1.709,-115.051
-0.580,-1.138,0.995,5.188,1.648,-88.928
-0.145,-0.887,1.004,3.967,1.282,-53.406
-0.006,-0.837,1.004,4.578,0.488,-18.433
0.104,-1.087,0.998,2.563,0.000,6.470
0.042,-1.309,1.013,-1.038,0.427,13.672
-0.020,-1.265,1.005,-1.831,0.916,8.240
-0.025,-1.128,1.007,-0.427,0.610,5.798
-0.097,-1.067,1.007,0.793,0.122,15.808
-0.179,-0.932,1.004,1.282,-0.122,33.081
-0.163,-0.727,1.007,0.732,0.061,52.795
-0.154,-0.577,1.002,0.977,0.000,69.458
-0.134,-0.591,1.003,0.366,-0.122,77.148
-0.136,-0.325,1.003,0.122,0.183,68.665
-0.155,-0.070,1.001,0.671,0.183,54.443
-0.185,-0.079,1.002,0.793,0.305,41.016
-0.161,0.005,1.004,0.366,0.732,22.949
-0.134,0.029,1.001,0.732,1.038,5.554
-0.087,-0.014,1.003,0.671,1.221,-7.202
-0.079,-0.075,0.998,0.610,1.404,-18.250
-0.067,-0.033,1.001,0.854,1.404,-26.367
-0.040,-0.068,1.001,0.854,1.343,-28.442
-0.054,-0.052,1.001,0.732,1.404,-28.625
-0.086,-0.002,1.002,0.488,1.709,-29.968
-0.085,0.061,1.001,0.671,1.648,-28.442
-0.083,0.087,1.001,0.671,1.587,-21.973
-0.057,0.087,1.000,0.854,1.770,-12.634
-0.032,0.056,1.002,1.099,1.465,-6.104
-0.022,0.066,1.000,1.038,1.343,-4.211
-0.002,0.068,1.001,1.099,1.221,-4.578
0.032,-0.062,1.003,1.099,1.160,-4.700
0.064,-0.105,1.005,1.404,1.099,-6.104
0.069,-0.108,1.001,1.404,1.038,-8.911
0.048,-0.130,1.002,1.709,1.221,-11.841
0.044,-0.086,1.001,1.770,1.343,-14.648
0.045,-0.087,1.000,1.526,1.038,-14.282
0.049,-0.153,1.003,1.526,1.038,-11.963
0.038,-0.197,1.004,1.343,0.977,-10.498
0.019,-0.193,1.001,1.343,1.038,-10.864
-0.010,-0.147,1.001,1.526,1.160,-9.521
-0.023,-0.171,1.004,1.221,1.160,-4.944
-0.024,-0.144,1.002,0.793,0.977,2.563
-0.041,-0.136,1.003,0.732,0.854,9.460
-0.024,-0.094,1.002,0.610,0.671,13.733
-0.046,-0.160,1.002,0.977,0.549,13.550
-0.028,-0.175,1.001,1.038,0.610,10.376
-0.037,-0.241,1.001,0.916,0.610,7.263
-0.038,-0.131,1.001,1.099,0.732,4.333
-0.026,-0.027,1.001,1.038,0.671,0.610
-0.024,-0.021,1.001,1.099,0.854,-0.305
-0.023,-0.012,1.004,0.854,0.854,-0.305
-0.023,-0.013,1.001,1.221,0.793,-0.122
-0.022,-0.012,1.001,0.977,0.610,-0.061
-0.022,-0.015,1.001,0.916,0.732,-0.244
-0.022,-0.016,1.001,0.977,0.854,-0.305
