aX,aY,aZ,gX,gY,gZ
-0.020,-0.016,1.001,1.160,0.732,-0.183

0.145,-1.721,1.013,3.052,0.916,16.846
0.032,-1.296,1.011,2.441,0.977,25.452
0.029,-1.237,1.001,2.441,0.916,50.659
0.074,-1.338,1.010,0.793,-0.671,81.543
0.024,-1.222,1.003,-0.610,-0.549,86.914
-0.000,-0.510,1.002,-0.488,-0.244,84.290
0.007,-0.406,0.998,0.061,-0.366,92.163
0.027,-0.237,1.003,-0.610,-0.183,85.754
-0.096,0.329,1.017,3.113,-0.427,57.922
-0.137,0.675,1.012,7.874,-0.732,40.771
-0.162,0.280,1.004,5.493,0.061,36.133
-0.276,0.783,0.987,5.859,0.183,18.860
-0.265,0.897,0.995,0.977,0.183,24.414
-0.251,1.018,0.992,-2.075,-0.061,47.852
-0.158,0.911,1.001,-1.404,0.610,61.157
-0.106,1.184,1.000,-0.488,1.221,44.006
-0.075,1.164,0.995,1.221,1.221,28.687
-0.072,0.999,0.993,1.770,1.160,10.803
-0.061,0.949,0.995,1.099,1.587,-7.629
-0.132,0.787,0.998,1.160,1.160,-23.743
-0.164,0.522,0.999,2.197,0.854,-25.330
-0.144,0.390,1.000,1.953,0.977,-18.127
-0.101,0.381,1.000,1.038,1.160,-4.822
-0.039,0.227,1.001,0.427,0.916,9.705
-0.053,0.178,1.000,0.549,0.854,13.245
-0.049,0.135,1.001,1.465,0.732,7.568
-0.076,0.078,1.001,2.075,1.099,-3.235
-0.096,0.125,1.002,2.869,1.038,-10.132
-0.100,0.084,1.005,2.747,0.854,-10.315
-0.103,0.031,1.002,2.625,0.977,-7.996
-0.105,0.115,0.998,2.197,1.038,-5.249
-0.068,0.165,1.000,2.075,0.916,3.052
-0.035,0.186,1.001,1.892,1.099,9.216
-0.009,0.274,1.003,1.770,0.916,9.216
-0.021,0.296,1.001,1.831,0.610,10.254
-0.015,0.459,1.015,1.648,0.732,10.010
-0.005,0.224,0.999,2.747,0.244,10.193
-0.021,0.004,1.002,1.648,0.610,2.563
-0.027,0.004,0.999,1.526,0.854,0.305
-0.026,-0.020,1.000,0.793,1.282,2.197
-0.024,-0.028,1.004,-0.916,1.648,4.272
-0.024,-0.036,1.002,-0.183,1.160,2.502
-0.021,-0.039,1.001,0.244,1.038,1.465
-0.026,-0.031,1.001,0.732,0.977,0.427
-0.027,-0.028,1.000,0.854,1.099,-0.183
-0.027,-0.026,1.001,0.916,1.038,-0.305
-0.025,-0.021,1.001,0.854,0.916,-0.122
-0.024,-0.017,1.001,1.282,0.732,0.000
-0.030,0.017,0.996,1.221,0.793,0.122
-0.011,-0.033,1.002,0.305,1.038,1.953
-0.019,-0.011,1.000,0.366,1.343,1.770
-0.017,-0.017,1.001,0.671,1.343,1.404
-0.019,-0.017,1.001,0.488,1.221,1.404
-0.025,-0.015,1.001,0.610,1.038,1.160
-0.025,-0.020,1.001,0.610,1.221,0.916
-0.030,-0.019,1.001,0.732,1.099,0.549
-0.033,-0.019,1.000,0.854,0.977,0.488
-0.030,-0.025,1.001,1.038,1.160,0.671
-0.026,-0.031,1.000,1.099,1.160,0.549
-0.025,-0.029,1.001,0.977,0.977,0.427
