aX,aY,aZ,gX,gY,gZ
-2.121,0.536,0.998,1.038,1.160,-59.631
-2.597,0.823,0.995,0.244,0.977,-42.114
-2.699,0.949,0.987,-1.343,0.671,-13.550
-2.446,0.860,0.973,-1.465,0.488,2.563
-1.990,0.542,0.969,-2.136,0.427,-0.671
-1.734,0.104,0.949,-0.732,1.526,-27.588
-1.478,-0.116,1.123,2.930,8.789,-75.073
-1.292,-0.209,1.135,4.883,5.066,-118.530
-1.268,-0.395,0.990,5.493,-8.423,-130.859
-0.745,-0.727,0.998,1.587,-4.272,-113.586
-0.610,-0.940,0.980,-5.615,0.244,-87.280
-0.101,-0.944,0.976,-2.869,2.686,-65.063
0.344,-0.790,1.065,4.822,1.648,-42.419
0.587,-0.774,1.007,2.258,-2.441,-13.123
0.898,-0.565,1.007,1.648,-4.822,5.615
1.060,-0.361,1.001,-1.953,-2.075,28.809
1.203,-0.196,1.085,-1.709,-1.892,49.011
1.142,0.070,0.991,0.061,-4.089,53.772
1.325,0.299,0.994,-3.418,-2.319,46.570
1.309,0.263,0.987,-1.831,-1.282,38.574
1.290,0.250,0.986,-2.014,-0.305,24.170
1.344,0.147,0.991,-2.014,0.671,10.254
1.191,0.071,1.003,1.709,0.183,0.000
1.294,0.091,1.030,2.808,0.366,-3.540
1.091,0.052,1.007,0.000,0.427,1.160
1.021,0.048,0.996,0.183,0.244,8.728
0.965,0.018,1.000,0.671,0.366,15.137
0.887,-0.029,0.999,0.244,0.061,21.729
0.725,-0.035,1.001,0.122,0.183,24.414
0.672,-0.060,1.001,0.916,0.183,23.865
0.557,-0.074,1.001,1.099,0.061,22.644
0.492,-0.096,1.000,0.916,0.122,20.996
0.451,-0.126,1.001,1.099,0.183,18.066
0.400,-0.152,1.001,1.282,0.366,14.221
0.383,-0.182,1.001,1.343,0.610,10.132
0.291,-0.133,0.999,1.648,0.671,5.371
-0.006,-0.027,0.999,1.404,0.793,0.854
-0.023,-0.026,1.001,1.770,0.854,0.061
-0.023,-0.022,1.001,1.892,0.610,-0.061
-0.023,-0.021,1.001,1.526,0.488,-0.244
-0.027,-0.020,1.001,1.648,0.549,-0.183
-0.029,-0.018,1.000,1.465,0.854,-0.183
-0.032,-0.015,1.001,1.099,0.671,-0.183
-0.035,-0.017,1.000,0.671,0.854,-0.183
-0.053,-0.064,1.001,0.671,0.793,-0.671
-0.022,0.021,0.999,1.648,0.671,-2.075
-0.034,-0.017,1.001,0.854,0.793,-0.610
-0.035,-0.030,0.999,0.671,0.793,-0.183
-0.035,-0.043,1.001,0.977,0.793,-0.977
-0.023,0.012,0.999,1.587,0.732,-1.892
-0.027,-0.017,1.000,0.854,0.671,-0.549
-0.026,-0.026,1.000,0.671,0.732,-0.244
-0.028,-0.041,1.001,1.221,0.610,-0.793
-0.029,0.003,0.998,2.075,0.671,-1.160
-0.033,-0.031,1.001,1.038,0.732,1.099
-0.031,-0.010,1.000,0.793,0.549,0.488
-0.053,-0.045,1.001,0.854,0.488,-0.793
-0.044,-0.019,1.000,1.343,0.366,-2.258
-0.039,-0.016,1.000,1.526,0.671,-2.869
-0.031,-0.013,1.000,1.526,0.671,-3.479
-0.017,-0.004,1.000,1.526,0.793,-3.540
-0.011,0.001,0.998,0.793,0.977,-2.502
-0.028,-0.017,1.000,0.488,0.977,-0.854
-0.029,-0.021,1.000,0.610,0.549,-0.244
-0.027,-0.021,1.000,0.977,0.427,-0.244
-0.027,-0.021,1.000,1.221,0.427,-0.244
-0.027,-0.020,1.001,1.099,0.549,-0.183
-0.027,-0.018,1.001,1.221,0.366,-0.061
-0.028,-0.018,1.001,1.221,0.732,0.061
-0.028,-0.018,1.001,0.977,0.671,-0.183
-0.030,-0.020,1.001,1.099,0.610,-0.183
-0.032,-0.021,1.000,1.221,0.793,-0.061
-0.032,-0.021,1.000,1.038,0.916,-0.183
-0.033,-0.021,1.000,0.732,0.488,-0.244
-0.035,-0.021,1.000,0.916,0.671,-0.183
-0.035,-0.021,1.000,0.916,0.671,-0.244
-0.034,-0.020,1.000,1.160,0.488,-0.183
-0.017,-0.033,1.000,1.160,0.549,0.000
-0.030,-0.017,1.000,1.587,0.732,0.244
-0.047,-0.008,0.998,1.587,0.488,1.709
-0.037,-0.015,1.000,1.160,0.610,1.404
-0.030,-0.019,1.000,0.793,0.610,0.061
-0.030,-0.020,1.000,1.221,0.732,0.000
-0.029,-0.022,0.999,1.221,0.977,0.000
-0.028,-0.022,1.000,1.282,0.977,0.061
-0.029,-0.023,1.000,1.221,0.671,0.000
-0.030,-0.023,1.000,0.916,0.732,-0.061
-0.030,-0.022,1.000,0.671,0.854,-0.244
-0.032,-0.020,1.000,0.793,0.977,-0.183
-0.033,-0.020,0.998,0.977,0.854,-0.061
-0.033,-0.017,1.000,1.038,0.793,-0.061
-0.034,-0.019,1.000,0.916,0.610,-0.122
-0.034,-0.018,1.001,1.038,0.854,-0.061
-0.033,-0.019,1.001,0.793,0.671,-0.122
-0.032,-0.019,1.001,0.916,0.549,-0.244
-0.030,-0.021,1.001,1.221,0.732,-0.183
-0.030,-0.021,1.001,1.404,0.793,0.061
-0.027,-0.022,1.000,1.160,0.854,0.061
-0.027,-0.024,1.000,0.854,0.854,-0.183
-0.026,-0.024,1.000,0.854,0.916,0.061
-0.026,-0.022,1.000,0.732,0.793,-0.122
-0.028,-0.022,1.000,0.549,0.793,-0.122
-0.030,-0.021,1.000,0.916,0.671,0.061
-0.032,-0.020,1.000,0.732,0.610,-0.061
-0.032,-0.017,1.000,0.549,0.610,-0.305
-0.034,-0.016,0.999,0.610,0.671,-0.305
-0.036,-0.016,1.000,0.977,0.732,-0.122
-0.036,-0.017,1.001,1.221,0.916,-0.061
-0.035,-0.019,1.000,1.404,0.854,-0.061
-0.035,-0.025,1.000,1.282,0.671,0.000
-0.033,-0.021,1.001,1.038,0.427,-0.061
-0.031,-0.023,1.000,1.160,0.610,0.000
-0.029,-0.024,1.001,1.404,0.366,-0.244
-0.028,-0.024,1.001,1.831,0.244,-0.122
-0.025,-0.021,1.001,2.258,0.488,0.000
-0.007,-0.027,1.005,2.258,0.183,-0.061
0.106,-0.066,1.028,2.930,-0.244,0.122
0.058,-0.052,1.062,3.052,-1.160,1.282
0.085,-0.020,1.107,-1.099,-2.930,3.174

-1.809,0.281,0.998,-4.211,2.197,-60.791
-2.445,0.646,0.990,-0.916,1.526,-64.819
-2.621,0.740,0.990,-0.732,1.282,-36.316
-2.368,0.753,0.985,-1.160,0.793,-12.573
-2.031,0.638,0.976,-2.869,0.000,-1.343
-1.764,0.368,0.945,-1.343,1.892,-8.118
-1.568,0.103,1.116,0.244,9.277,-40.894
-1.551,-0.011,1.103,2.380,3.906,-90.881
-1.345,-0.197,0.991,2.747,-7.019,-124.268
-1.005,-0.744,0.987,3.235,-5.554,-123.779
-0.650,-1.111,0.983,-3.418,-0.549,-105.103
-0.372,-1.204,0.977,-2.136,2.380,-81.238
0.014,-1.246,1.030,2.502,2.075,-48.218
0.355,-1.069,1.059,2.808,-0.366,-10.742
0.599,-0.883,1.000,0.793,-5.127,28.564
0.935,-0.683,1.011,0.610,-4.150,67.810
1.198,-0.488,1.010,-0.610,-2.686,94.543
1.207,-0.152,1.057,-0.977,-2.808,87.891
1.223,0.280,0.982,0.916,-3.601,72.754
1.275,0.334,0.999,-2.258,-1.953,59.143
1.171,0.282,0.996,-0.549,-1.343,45.593
1.268,0.358,0.995,-1.160,-0.122,24.536
1.278,0.266,0.999,-0.793,0.366,16.052
1.204,0.182,0.998,1.892,0.122,13.000
1.173,0.232,1.011,2.625,1.160,10.010
1.122,0.234,1.017,0.916,1.526,11.292
0.969,0.185,1.005,1.648,0.732,14.832
0.874,0.195,1.002,1.526,0.366,14.526
0.727,0.186,0.999,1.099,0.427,11.841
0.657,0.183,1.000,1.099,0.427,8.667
0.581,0.165,1.001,1.038,0.488,7.507
0.549,0.142,1.001,0.793,0.427,8.118
0.515,0.087,1.000,0.916,0.671,7.385
0.482,0.044,1.001,0.793,0.854,1.282
0.389,0.032,1.001,1.526,0.916,-7.874
0.047,0.035,0.997,1.648,0.854,-11.047
-0.021,-0.019,1.003,0.671,0.671,-2.930
-0.025,-0.028,1.002,2.014,0.671,-0.061
-0.021,-0.025,1.002,2.136,0.793,0.244
0.010,0.005,1.001,1.770,0.427,0.610
-0.053,-0.029,1.001,1.099,0.427,3.357
-0.037,-0.012,1.000,1.343,0.610,3.296
-0.030,-0.001,0.999,1.221,0.732,2.686
-0.038,-0.025,1.001,0.793,0.793,3.479
-0.041,-0.029,1.000,0.977,0.793,2.930
-0.040,-0.037,1.000,0.916,0.793,2.136
-0.036,-0.037,1.000,0.793,0.916,1.526
-0.035,-0.032,1.000,0.916,0.854,0.732
-0.032,-0.025,1.000,0.793,0.732,0.000
-0.031,-0.020,1.001,0.671,0.732,-0.122
-0.029,-0.017,1.001,0.671,0.732,0.000
-0.029,-0.016,1.001,0.732,0.732,-0.183
-0.028,-0.019,1.001,0.732,0.854,-0.122
-0.026,-0.022,1.001,0.671,0.793,0.000
-0.026,-0.025,1.001,0.732,0.793,-0.183
-0.027,-0.027,1.000,0.610,0.854,-0.122
-0.027,-0.026,1.001,0.671,0.916,-0.183
-0.028,-0.022,1.000,0.366,0.671,-0.305
-0.029,-0.018,1.000,0.427,0.610,-0.244
-0.031,-0.017,1.000,0.244,0.793,-0.305
-0.032,-0.019,1.000,0.183,0.732,-0.122
-0.033,-0.023,1.000,0.305,0.793,-0.183
-0.032,-0.023,1.001,0.549,0.671,-0.671
-0.031,-0.019,1.001,0.671,0.732,-1.038
-0.031,-0.023,1.001,0.732,0.610,-0.610
-0.029,-0.022,1.001,0.916,0.610,-0.305
-0.029,-0.021,1.001,0.977,0.671,-0.244
-0.028,-0.018,1.001,0.793,0.732,-0.183
-0.027,-0.018,1.001,0.977,0.793,-0.183
-0.027,-0.019,1.000,1.038,0.916,-0.061
-0.028,-0.021,1.001,0.549,0.671,-0.183
-0.028,-0.023,1.000,0.671,0.549,-0.122
-0.030,-0.024,1.000,0.854,0.549,-0.061
-0.031,-0.022,1.000,0.793,0.549,-0.183
-0.031,-0.021,1.000,0.732,0.671,-0.183
-0.032,-0.018,1.000,0.854,0.732,-0.549
-0.033,-0.013,1.001,0.916,0.549,-0.671
-0.034,-0.013,1.001,0.916,0.732,-0.549
-0.034,-0.017,1.001,1.038,0.732,-0.183
-0.032,-0.021,1.000,0.916,0.671,-0.122
-0.031,-0.024,1.000,1.160,0.610,-0.183
-0.029,-0.026,1.001,1.160,0.671,-0.122
-0.029,-0.025,1.000,1.099,0.732,0.000
-0.028,-0.023,1.001,1.099,0.732,0.000
-0.028,-0.020,1.000,1.038,0.793,0.000
-0.029,-0.018,1.000,0.977,0.732,-0.244
-0.031,-0.018,1.000,1.099,0.732,-0.061
-0.031,-0.019,1.000,1.160,0.732,-0.122
-0.031,-0.020,1.001,1.038,0.671,-0.122
-0.030,-0.023,1.001,1.160,0.854,-0.122
-0.031,-0.023,1.002,1.099,0.671,-0.183
-0.031,-0.021,1.001,1.099,0.671,-0.122
-0.029,-0.021,1.001,1.099,0.793,-0.183
-0.028,-0.020,1.001,1.282,0.793,-0.183
-0.027,-0.020,1.000,1.465,0.671,-0.305
-0.027,-0.021,1.001,1.770,0.671,-0.061
-0.026,-0.023,1.001,1.892,0.488,-0.061
-0.027,-0.023,1.000,1.953,0.549,-0.183
-0.029,-0.022,1.000,1.953,0.671,-0.122
-0.030,-0.022,1.001,1.831,0.610,-0.061
-0.032,-0.020,1.001,1.770,0.610,0.000
-0.033,-0.018,1.000,1.587,0.549,0.122
-0.036,-0.016,1.000,1.526,0.671,0.061
-0.036,-0.018,1.001,1.587,0.610,0.183
-0.034,-0.024,1.001,1.648,0.610,0.488
-0.034,-0.026,1.001,1.953,0.916,0.549
-0.034,-0.025,1.001,1.709,0.671,0.366
-0.031,-0.025,1.001,1.709,0.549,0.366
-0.029,-0.024,1.001,1.892,0.671,0.549
-0.029,-0.019,1.001,2.136,0.671,0.610
-0.028,-0.020,1.001,2.197,0.549,1.038
-0.026,-0.022,1.000,2.502,0.610,1.343
-0.026,-0.024,1.000,2.441,0.488,1.221
-0.027,-0.025,1.000,1.831,0.305,1.099
-0.026,-0.030,1.001,1.343,0.427,0.977
-0.026,-0.029,1.004,1.282,0.366,0.366
-0.031,-0.031,1.004,1.282,0.122,-0.244
-0.031,-0.036,1.002,1.221,0.061,-0.549
-0.038,-0.043,1.002,1.282,0.122,-1.648

-2.308,0.407,0.996,-2.563,1.770,-64.148
-2.543,0.915,0.998,-2.380,1.587,-71.472
-2.423,0.870,0.988,-2.014,1.099,-33.264
-2.084,0.593,0.992,-1.709,0.793,2.441
-1.736,0.410,0.970,-2.075,0.000,9.583
-1.461,0.138,0.927,-0.305,2.014,-9.155
-1.331,-0.052,1.123,3.479,10.376,-43.823
